Giver	Giver Region	Year	Recipient	Recipient Region	Giver GDP	Recipient GDP	Giver GDP Per Capita	Recipient GDP Per Capita	Points
United Kingdom	Northern Europe	1975	Netherlands	Western Europe	804184578949	196458513462	14303	14375	12
United Kingdom	Northern Europe	1975	Ireland	Northern Europe	804184578949	27731289575	14303	8694	6
United Kingdom	Northern Europe	1975	France	Western Europe	804184578949	730641519752	14303	13546	8
United Kingdom	Northern Europe	1975	Luxembourg	Western Europe	804184578949	6837385417	14303	19048	3
United Kingdom	Northern Europe	1975	Israel	Eastern Europe	804184578949	41334478728	14303	11964	1
United Kingdom	Northern Europe	1975	Monaco	Western Europe	804184578949	1451033426	14303	57688	2
United Kingdom	Northern Europe	1975	Finland	Northern Europe	804184578949	62868988391	14303	13344	4
United Kingdom	Northern Europe	1975	Sweden	Northern Europe	804184578949	151421186027	14303	18483	7
United Kingdom	Northern Europe	1975	Italy	Southern Europe	804184578949	597471150545	14303	10777	10
United Kingdom	Northern Europe	1976	Israel	Eastern Europe	826739189761	41878380069	14708	11853	6
United Kingdom	Northern Europe	1976	Belgium	Western Europe	826739189761	138375551581	14708	14094	7
United Kingdom	Northern Europe	1976	Ireland	Northern Europe	826739189761	28118087794	14708	8684	10
United Kingdom	Northern Europe	1976	Finland	Northern Europe	826739189761	63085498434	14708	13350	2
United Kingdom	Northern Europe	1976	Spain	Southern Europe	826739189761	309108150346	14708	8601	3
United Kingdom	Northern Europe	1976	Italy	Southern Europe	826739189761	640043271230	14708	11487	1
United Kingdom	Northern Europe	1976	Austria	Western Europe	826739189761	104978248798	14708	13876	4
United Kingdom	Northern Europe	1976	Monaco	Western Europe	826739189761	1515047634	14708	59786	5
United Kingdom	Northern Europe	1976	France	Western Europe	826739189761	762687037773	14708	14065	8
United Kingdom	Northern Europe	1977	Ireland	Northern Europe	846277938826	30426948438	15060	9270	12
United Kingdom	Northern Europe	1977	Monaco	Western Europe	846277938826	1568880854	15060	61568	7
United Kingdom	Northern Europe	1977	Netherlands	Western Europe	846277938826	209819490793	15060	15143	1
United Kingdom	Northern Europe	1977	Norway	Northern Europe	846277938826	80550482412	15060	19922	2
United Kingdom	Northern Europe	1977	Germany	Western Europe	846277938826	1136867967134	15060	14545	8
United Kingdom	Northern Europe	1977	Greece	Southern Europe	846277938826	82660761559	15060	8880	5
United Kingdom	Northern Europe	1977	Spain	Southern Europe	846277938826	317882414865	15060	8740	3
United Kingdom	Northern Europe	1977	Belgium	Western Europe	846277938826	139241996741	15060	14164	10
United Kingdom	Northern Europe	1977	France	Western Europe	846277938826	789935209765	15060	14502	6
United Kingdom	Northern Europe	1978	Italy	Southern Europe	875079940295	677700885301	15572	12068	6
United Kingdom	Northern Europe	1978	France	Western Europe	875079940295	820703033189	15572	15005	8
United Kingdom	Northern Europe	1978	Belgium	Western Europe	875079940295	143199110282	15572	14553	12
United Kingdom	Northern Europe	1978	Netherlands	Western Europe	875079940295	214709855410	15572	15401	3
United Kingdom	Northern Europe	1978	Turkey	Southern Europe	875079940295	115575471186	15572	2738	1
United Kingdom	Northern Europe	1978	Monaco	Western Europe	875079940295	1630907363	15572	63665	10
United Kingdom	Northern Europe	1978	Luxembourg	Western Europe	875079940295	7410886547	15572	20472	7
United Kingdom	Northern Europe	1978	Israel	Eastern Europe	875079940295	43894054771	15572	11895	5
United Kingdom	Northern Europe	1978	Sweden	Northern Europe	875079940295	153218225975	15572	18514	4
United Kingdom	Northern Europe	1979	Denmark	Northern Europe	899116393212	101373969024	15985	19812	3
United Kingdom	Northern Europe	1979	Ireland	Northern Europe	899116393212	33615879958	15985	9964	4
United Kingdom	Northern Europe	1979	Germany	Western Europe	899116393212	1219674241982	15985	15612	8
United Kingdom	Northern Europe	1979	Israel	Eastern Europe	899116393212	46652707737	15985	12322	12
United Kingdom	Northern Europe	1979	France	Western Europe	899116393212	849011684286	15985	15459	6
United Kingdom	Northern Europe	1979	Belgium	Western Europe	899116393212	146551506039	15985	14881	2
United Kingdom	Northern Europe	1979	Luxembourg	Western Europe	899116393212	7584716949	15985	20903	10
United Kingdom	Northern Europe	1979	Norway	Northern Europe	899116393212	87300314681	15985	21436	7
United Kingdom	Northern Europe	1979	Austria	Western Europe	899116393212	115975337659	15985	15362	1
United Kingdom	Northern Europe	1979	Spain	Southern Europe	899116393212	322667046531	15985	8674	5
United Kingdom	Northern Europe	1980	Austria	Western Europe	879523727358	117983433721	15618	15628	6
United Kingdom	Northern Europe	1980	Greece	Southern Europe	879523727358	92180659096	15618	9560	3
United Kingdom	Northern Europe	1980	Luxembourg	Western Europe	879523727358	7648495539	15618	21004	8
United Kingdom	Northern Europe	1980	Italy	Southern Europe	879523727358	742716634590	15618	13161	4
United Kingdom	Northern Europe	1980	Germany	Western Europe	879523727358	1236857362256	15618	15799	10
United Kingdom	Northern Europe	1980	Netherlands	Western Europe	879523727358	226172474359	15618	15984	2
United Kingdom	Northern Europe	1980	France	Western Europe	879523727358	862905694751	15618	15642	5
United Kingdom	Northern Europe	1980	Ireland	Northern Europe	879523727358	34651023565	15618	10153	12
United Kingdom	Northern Europe	1980	Belgium	Western Europe	879523727358	153064334168	15618	15525	1
United Kingdom	Northern Europe	1981	Germany	Western Europe	867883599305	1243403312837	15406	15858	7
United Kingdom	Northern Europe	1981	Israel	Eastern Europe	867883599305	52424989128	15406	13252	4
United Kingdom	Northern Europe	1981	Denmark	Northern Europe	867883599305	99985021834	15406	19522	5
United Kingdom	Northern Europe	1981	France	Western Europe	867883599305	871351830990	15406	15717	1
United Kingdom	Northern Europe	1981	Netherlands	Western Europe	867883599305	224400160606	15406	15750	6
United Kingdom	Northern Europe	1981	Belgium	Western Europe	867883599305	152636850556	15406	15482	3
United Kingdom	Northern Europe	1981	Greece	Southern Europe	867883599305	90748428632	15406	9327	8
United Kingdom	Northern Europe	1981	Cyprus	Southern Europe	867883599305	3468580371	15406	6702	10
United Kingdom	Northern Europe	1981	Sweden	Northern Europe	867883599305	161479205873	15406	19407	2
United Kingdom	Northern Europe	1982	Portugal	Southern Europe	886049000292	66000928625	15734	6659	4
United Kingdom	Northern Europe	1982	Luxembourg	Western Europe	886049000292	7692406592	15734	21045	6
United Kingdom	Northern Europe	1982	Cyprus	Southern Europe	886049000292	3677448289	15734	7022	3
United Kingdom	Northern Europe	1982	Sweden	Northern Europe	886049000292	163405836617	15734	19628	5
United Kingdom	Northern Europe	1982	Austria	Western Europe	886049000292	120182713047	15734	15868	10
United Kingdom	Northern Europe	1982	Belgium	Western Europe	886049000292	153545019889	15734	15578	2
United Kingdom	Northern Europe	1982	Israel	Eastern Europe	886049000292	53373271440	15734	13241	1
United Kingdom	Northern Europe	1982	Ireland	Northern Europe	886049000292	36620800676	15734	10506	7
United Kingdom	Northern Europe	1982	Germany	Western Europe	886049000292	1238493849902	15734	15811	8
United Kingdom	Northern Europe	1983	Norway	Northern Europe	918162485756	96347057333	16299	23337	5
United Kingdom	Northern Europe	1983	Sweden	Northern Europe	918162485756	166363076144	16299	19974	8
United Kingdom	Northern Europe	1983	Finland	Northern Europe	918162485756	79008660402	16299	16271	6
United Kingdom	Northern Europe	1983	Netherlands	Western Europe	918162485756	226203256621	16299	15745	1
United Kingdom	Northern Europe	1983	Germany	Western Europe	918162485756	1257968052880	16299	16101	7
United Kingdom	Northern Europe	1983	Denmark	Northern Europe	918162485756	106448383104	16299	20814	2
United Kingdom	Northern Europe	1983	Israel	Eastern Europe	918162485756	55247111456	16299	13458	10
United Kingdom	Northern Europe	1983	Austria	Western Europe	918162485756	123755850879	16299	16366	3
